"Year","Sex","agegroup","UF","pop"
2010,"f","5-9","Santa Catarina",219520
2010,"f","5-9","Sao Paulo",1527834
2010,"f","5-9","Sergipe",91681.0000000001
2010,"f","5-9","Tocantins",66934
2010,"f","50-54","Acre",13203
2010,"f","50-54","Alagoas",72462.9999999999
2010,"f","50-54","Amapa",11278
2010,"f","50-54","Amazonas",63018
2010,"f","50-54","Bahia",350392
2010,"f","50-54","Ceara",203244
2010,"f","50-54","Distrito Federal",68044
2010,"f","50-54","Espirito Santo",104206
2010,"f","50-54","Goias",159120
2010,"f","50-54","Maranhao",135486
2010,"f","50-54","Mato Grosso",72597
2010,"f","50-54","Mato Grosso Do Sul",66060
2010,"f","50-54","Minas Gerais",592779
2010,"f","50-54","Para",147407
2010,"f","50-54","Paraiba",93444
2010,"f","50-54","Parana",314158
2010,"f","50-54","Pernambuco",228736
2010,"f","50-54","Piaui",77019
2010,"f","50-54","Rio De Janeiro",545059
2010,"f","50-54","Rio Grande Do Norte",78679
2010,"f","50-54","Rio Grande Do Sul",365660
2010,"f","50-54","Rondonia",35068
2010,"f","50-54","Roraima",8185
2010,"f","50-54","Santa Catarina",190034
2010,"f","50-54","Sao Paulo",1303786
2010,"f","50-54","Sergipe",48748
2010,"f","50-54","Tocantins",28898
2010,"f","55-59","Acre",10370
2010,"f","55-59","Alagoas",61196.9999999999
2010,"f","55-59","Amapa",8268
2010,"f","55-59","Amazonas",48480
2010,"f","55-59","Bahia",285290
2010,"f","55-59","Ceara",171728
2010,"f","55-59","Distrito Federal",53227
2010,"f","55-59","Espirito Santo",84064
2010,"f","55-59","Goias",126849
2010,"f","55-59","Maranhao",114329
2010,"f","55-59","Mato Grosso",55213
2010,"f","55-59","Mato Grosso Do Sul",52682
2010,"f","55-59","Minas Gerais",486237
2010,"f","55-59","Para",117285
2010,"f","55-59","Paraiba",81463
2010,"f","55-59","Parana",260148
2010,"f","55-59","Pernambuco",192598
2010,"f","55-59","Piaui",65763
2010,"f","55-59","Rio De Janeiro",460293
2010,"f","55-59","Rio Grande Do Norte",63016
2010,"f","55-59","Rio Grande Do Sul",311407
2010,"f","55-59","Rondonia",26652
2010,"f","55-59","Roraima",6000
2010,"f","55-59","Santa Catarina",154893
2010,"f","55-59","Sao Paulo",1071813
2010,"f","55-59","Sergipe",40318
2010,"f","55-59","Tocantins",23160
2010,"f","60-64","Acre",7603
2010,"f","60-64","Alagoas",48293
2010,"f","60-64","Amapa",5561
2010,"f","60-64","Amazonas",35480
2010,"f","60-64","Bahia",233682
2010,"f","60-64","Ceara",146338
2010,"f","60-64","Distrito Federal",39586
2010,"f","60-64","Espirito Santo",61352
2010,"f","60-64","Goias",96827
2010,"f","60-64","Maranhao",89491
2010,"f","60-64","Mato Grosso",40642
2010,"f","60-64","Mato Grosso Do Sul",39814
2010,"f","60-64","Minas Gerais",381325
2010,"f","60-64","Para",87510
2010,"f","60-64","Paraiba",72485
2010,"f","60-64","Parana",204003
2010,"f","60-64","Pernambuco",162229
2010,"f","60-64","Piaui",53016
2010,"f","60-64","Rio De Janeiro",368088
2010,"f","60-64","Rio Grande Do Norte",57135
2010,"f","60-64","Rio Grande Do Sul",251333
2010,"f","60-64","Rondonia",18786
2010,"f","60-64","Roraima",4180
2010,"f","60-64","Santa Catarina",118076
2010,"f","60-64","Sao Paulo",842168
2010,"f","60-64","Sergipe",31913
2010,"f","60-64","Tocantins",17864
2010,"f","65-69","Acre",5939
2010,"f","65-69","Alagoas",37131
2010,"f","65-69","Amapa",4502
2010,"f","65-69","Amazonas",26333
2010,"f","65-69","Bahia",185034
2010,"f","65-69","Ceara",112605
2010,"f","65-69","Distrito Federal",27266
2010,"f","65-69","Espirito Santo",45976
2010,"f","65-69","Goias",72066
2010,"f","65-69","Maranhao",70938
2010,"f","65-69","Mato Grosso",29314
2010,"f","65-69","Mato Grosso Do Sul",30183
2010,"f","65-69","Minas Gerais",294117
2010,"f","65-69","Para",68226
2010,"f","65-69","Paraiba",57312
2010,"f","65-69","Parana",153493
2010,"f","65-69","Pernambuco",125783
2010,"f","65-69","Piaui",41173
2010,"f","65-69","Rio De Janeiro",274229
2010,"f","65-69","Rio Grande Do Norte",42481
2010,"f","65-69","Rio Grande Do Sul",190335
2010,"f","65-69","Rondonia",13664
2010,"f","65-69","Roraima",2828
2010,"f","65-69","Santa Catarina",85065
2010,"f","65-69","Sao Paulo",618051
2010,"f","65-69","Sergipe",24370
2010,"f","65-69","Tocantins",13576
2010,"f","70-74","Acre",4050
2010,"f","70-74","Alagoas",27834
2010,"f","70-74","Amapa",3093
2010,"f","70-74","Amazonas",19145
2010,"f","70-74","Bahia",146432
2010,"f","70-74","Ceara",96325
2010,"f","70-74","Distrito Federal",20152
2010,"f","70-74","Espirito Santo",36586
2010,"f","70-74","Goias",54652
2010,"f","70-74","Maranhao",55925
2010,"f","70-74","Mato Grosso",20907
2010,"f","70-74","Mato Grosso Do Sul",22628
2010,"f","70-74","Minas Gerais",236547
2010,"f","70-74","Para",49250
2010,"f","70-74","Paraiba",49503
2010,"f","70-74","Parana",115886
2010,"f","70-74","Pernambuco",101964
2010,"f","70-74","Piaui",34282
2010,"f","70-74","Rio De Janeiro",223132
2010,"f","70-74","Rio Grande Do Norte",35305
2010,"f","70-74","Rio Grande Do Sul",151212
2010,"f","70-74","Rondonia",9666.00000000001
2010,"f","70-74","Roraima",1984
2010,"f","70-74","Santa Catarina",65485
2010,"f","70-74","Sao Paulo",491021
2010,"f","70-74","Sergipe",18691
2010,"f","70-74","Tocantins",10567
2010,"f","75-79","Acre",2728
2010,"f","75-79","Alagoas",18930
2010,"f","75-79","Amapa",2104
2010,"f","75-79","Amazonas",13103
2010,"f","75-79","Bahia",102848
2010,"f","75-79","Ceara",64256
2010,"f","75-79","Distrito Federal",12573
2010,"f","75-79","Espirito Santo",27053
2010,"f","75-79","Goias",35704
2010,"f","75-79","Maranhao",37251
2010,"f","75-79","Mato Grosso",13163
2010,"f","75-79","Mato Grosso Do Sul",15392
2010,"f","75-79","Minas Gerais",171139
2010,"f","75-79","Para",33103
2010,"f","75-79","Paraiba",32383
2010,"f","75-79","Parana",81354
2010,"f","75-79","Pernambuco",67330.0000000001
2010,"f","75-79","Piaui",23172
2010,"f","75-79","Rio De Janeiro",167437
2010,"f","75-79","Rio Grande Do Norte",23538
2010,"f","75-79","Rio Grande Do Sul",114726
2010,"f","75-79","Rondonia",6322
2010,"f","75-79","Roraima",1256
2010,"f","75-79","Santa Catarina",46175
2010,"f","75-79","Sao Paulo",359535
2010,"f","75-79","Sergipe",13189
2010,"f","75-79","Tocantins",7020
2010,"f","80-84","Acre",1769
2010,"f","80-84","Alagoas",12083
2010,"f","80-84","Amapa",1227
2010,"f","80-84","Amazonas",8155
2010,"f","80-84","Bahia",70869
2010,"f","80-84","Ceara",48299
2010,"f","80-84","Distrito Federal",8173
2010,"f","80-84","Espirito Santo",17915
2010,"f","80-84","Goias",21091
2010,"f","80-84","Maranhao",22543
2010,"f","80-84","Mato Grosso",7501.99999999999
2010,"f","80-84","Mato Grosso Do Sul",9538
2010,"f","80-84","Minas Gerais",113555
2010,"f","80-84","Para",20563
2010,"f","80-84","Paraiba",24308
2010,"f","80-84","Parana",51243
2010,"f","80-84","Pernambuco",46870
2010,"f","80-84","Piaui",15935
2010,"f","80-84","Rio De Janeiro",117366
